provinsi,tahun,pulau,rpp,pl,ik,ia,rpp_norm,pl_norm,ik_norm,ia_norm,ikp,status,has_complete_data
RIAU,2020,Sumatera,0.038110921005301765,3.7644563147185996,1.0217543859649123,0.9318,0.072704,0.303528,0.458319,0.867017,0.472847,RENDAH,True
JAMBI,2020,Sumatera,0.10890408939744095,4.558217935843436,1.014561403508772,0.9242,0.209236,0.568702,0.444482,0.833771,0.539063,SEDANG,True
SUMATERA SELATAN,2020,Sumatera,0.32395536764532207,4.975433321248414,1.050877192982456,0.8734,0.623983,0.708083,0.514344,0.611549,0.604181,SEDANG,True
BENGKULU,2020,Sumatera,0.1456378574625752,4.565738366204491,1.0224561403508772,0.8497,0.28008,0.571215,0.459669,0.507874,0.460522,RENDAH,True
LAMPUNG,2020,Sumatera,0.2942216345833611,4.86158719344737,1.0052631578947369,0.8766,0.566638,0.67005,0.426595,0.625547,0.56298,SEDANG,True
KEPULAUAN BANGKA BELITUNG,2020,Sumatera,0.03937921274987978,3.213147576728296,1.1789473684210527,0.9547,0.07515,0.11935,0.760715,0.967192,0.557272,SEDANG,True
KEPULAUAN RIAU,2020,Sumatera,0.0004129322871258355,2.8558890526597884,1.1549122807017544,0.9408,0.0,0.0,0.714479,0.906387,0.48626,RENDAH,True
JAKARTA,2020,Jawa,0.00043021084822147113,4.968704552164548,1.2412280701754386,0.9547,3.3e-05,0.705835,0.880526,0.967192,0.695489,SEDANG,True
JAWA BARAT,2020,Jawa,0.186782434095231,5.682044983837335,1.137543859649123,0.9212,0.359431,0.944143,0.681066,0.820647,0.711229,TINGGI,True
JAWA TENGAH,2020,Jawa,0.25986320024099024,5.6925942529287745,1.0491228070175438,0.8859,0.500375,0.947667,0.510969,0.666229,0.642768,SEDANG,True
DAERAH ISTIMEWA YOGYAKARTA,2020,Jawa,0.14266523564205305,4.734553152057222,1.2356140350877194,0.8772,0.274347,0.627611,0.869727,0.628171,0.629761,SEDANG,True
JAWA TIMUR,2020,Jawa,0.24454363898813988,5.668405111480105,1.0664912280701755,0.8891,0.470829,0.939586,0.544381,0.680227,0.649465,SEDANG,True
BANTEN,2020,Jawa,0.13903617845202695,5.087614441118897,1.1766666666666665,0.9408,0.267348,0.745559,0.756328,0.906387,0.701396,TINGGI,True
BALI,2020,Bali-Nusa,0.1232613262611757,5.8492461422308395,1.157719298245614,0.9621999999999999,0.236925,1.0,0.719879,1.0,0.763349,TINGGI,True
NUSA TENGGARA BARAT,2020,Bali-Nusa,0.24758741565008177,4.816740511492652,1.3033333333333335,0.8603,0.4767,0.655068,1.0,0.554243,0.692627,SEDANG,True
NUSA TENGGARA TIMUR,2020,Bali-Nusa,0.13613945846477393,3.9904330784697044,0.9435087719298246,0.791,0.261762,0.379021,0.307796,0.251094,0.295824,RENDAH,True
