provinsi,tahun,pulau,rpp,pl,ik,ia,ikp,status,pct_miskin_est,is_prediction,model_version
PAPUA,2025,Maluku-Papua,0.022771,4.197951,0.861402,0.803014,0.240701,RENDAH,19.7,True,rf_v1.0
PAPUA,2026,Maluku-Papua,0.033066,4.101232,0.892943,0.807758,0.271425,RENDAH,19.22,True,rf_v1.0
PAPUA,2027,Maluku-Papua,0.036666,4.090485,0.917973,0.805956,0.283256,RENDAH,19.4,True,rf_v1.0
PAPUA,2028,Maluku-Papua,0.04048,4.071345,0.930747,0.806847,0.290134,RENDAH,19.32,True,rf_v1.0
PAPUA,2029,Maluku-Papua,0.042516,4.056768,0.938507,0.805912,0.289097,RENDAH,19.41,True,rf_v1.0
PAPUA,2030,Maluku-Papua,0.043418,4.050511,0.942813,0.804743,0.293981,RENDAH,19.53,True,rf_v1.0
PAPUA BARAT,2025,Maluku-Papua,0.038178,4.097326,0.956607,0.792696,0.285553,RENDAH,20.73,True,rf_v1.0
PAPUA BARAT,2026,Maluku-Papua,0.036707,4.067526,0.959325,0.796276,0.287156,RENDAH,20.37,True,rf_v1.0
PAPUA BARAT,2027,Maluku-Papua,0.039489,4.072058,0.957394,0.797105,0.287334,RENDAH,20.29,True,rf_v1.0
PAPUA BARAT,2028,Maluku-Papua,0.040852,4.072678,0.955375,0.798265,0.288725,RENDAH,20.17,True,rf_v1.0
PAPUA BARAT,2029,Maluku-Papua,0.042114,4.070753,0.956882,0.798268,0.288913,RENDAH,20.17,True,rf_v1.0
PAPUA BARAT,2030,Maluku-Papua,0.042468,4.070065,0.956446,0.79837,0.293421,RENDAH,20.16,True,rf_v1.0
RIAU,2025,Sumatera,0.036379,3.97308,1.053072,0.933591,0.499103,RENDAH,6.64,True,rf_v1.0
RIAU,2026,Sumatera,0.038616,3.990268,1.056073,0.933379,0.500771,SEDANG,6.66,True,rf_v1.0
RIAU,2027,Sumatera,0.039319,3.990341,1.055265,0.933267,0.504783,SEDANG,6.67,True,rf_v1.0
RIAU,2028,Sumatera,0.038378,3.983946,1.055783,0.932999,0.506632,SEDANG,6.7,True,rf_v1.0
RIAU,2029,Sumatera,0.038604,3.982559,1.055528,0.932891,0.507592,SEDANG,6.71,True,rf_v1.0
