provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,rpp_ikan_norm,rpp_kebun_norm,npi_norm,kps_norm,ipsda,status,n_komponen,has_complete_data
SUMATERA SELATAN,2020,Sumatera,0.01418397021714777,0.07662832539350255,635363.4647460197,0.147076,0.053066,0.218207,0.086301,0.334336,0.172978,RENDAH,4,True
BENGKULU,2020,Sumatera,0.03313654010036928,0.07307546633841493,1224521.9018085408,0.283068,0.133973,0.207984,0.173058,0.645201,0.290054,RENDAH,4,True
LAMPUNG,2020,Sumatera,0.01507410081107478,0.020096394751369484,468524.61728735827,0.283367,0.056865,0.055534,0.061733,0.645884,0.205004,RENDAH,4,True
KEPULAUAN BANGKA BELITUNG,2020,Sumatera,0.1473548808357819,0.07303297420829252,4498349.20992491,0.196453,0.621567,0.207862,0.655148,0.447207,0.482946,KURANG,4,True
KEPULAUAN RIAU,2020,Sumatera,0.15214400219850685,0.0029485182979892824,4841796.362845235,0.030701,0.642011,0.00619,0.705722,0.068314,0.355559,KURANG,4,True
JAKARTA,2020,Jawa,0.010092841299403832,0.0,301345.86257241527,0.000816,0.035601,0.0,0.037115,0.0,0.018179,RENDAH,3,False
JAWA BARAT,2020,Jawa,0.004976502228613651,0.000797245814893972,113607.82223528757,0.085543,0.013759,0.0,0.009469,0.193678,0.054226,RENDAH,4,True
JAWA TENGAH,2020,Jawa,0.010315710579722002,0.001484800342021994,144921.30329908716,0.138642,0.036552,0.001978,0.01408,0.315057,0.091917,RENDAH,4,True
DAERAH ISTIMEWA YOGYAKARTA,2020,Jawa,0.0017534246575342466,0.0019916212262268917,49303.825774704084,0.097728,0.0,0.003437,0.0,0.221531,0.056242,RENDAH,4,True
JAWA TIMUR,2020,Jawa,0.010146025900106423,0.004343588946418109,193215.3599349508,0.114789,0.035828,0.010205,0.021192,0.260531,0.081939,RENDAH,4,True
BANTEN,2020,Jawa,0.006014527728172209,0.0008858616085074891,196306.1284328394,0.060372,0.01819,0.000255,0.021647,0.136139,0.044058,RENDAH,4,True
BALI,2020,Bali-Nusa,0.021648207881262264,0.002481221663320777,543104.7147722915,0.157696,0.08493,0.004846,0.072715,0.358612,0.130276,RENDAH,4,True
NUSA TENGGARA BARAT,2020,Bali-Nusa,0.040202089975203685,0.0024375664187035067,617652.1291179596,0.227903,0.164136,0.00472,0.083693,0.519099,0.192912,RENDAH,4,True
NUSA TENGGARA TIMUR,2020,Bali-Nusa,0.03224009900990099,0.0025548090523338047,742024.0602899576,0.291655,0.130146,0.005057,0.102007,0.66483,0.22551,RENDAH,4,True
KALIMANTAN BARAT,2020,Kalimantan,0.02657255728206479,0.12724958300412606,786955.8017733298,0.212778,0.105952,0.363872,0.108624,0.484524,0.265743,RENDAH,4,True
KALIMANTAN TENGAH,2020,Kalimantan,0.054912268213688296,0.34831565647578033,1380989.1273089654,0.221721,0.226933,1.0,0.196098,0.504967,0.482,KURANG,4,True
KALIMANTAN SELATAN,2020,Kalimantan,0.048634342677961344,0.05065638601581879,1536029.9400945383,0.135757,0.200133,0.143472,0.218929,0.308462,0.217749,RENDAH,4,True
KALIMANTAN TIMUR,2020,Kalimantan,0.04112237079512593,0.12063755901035617,1290841.18910502,0.084884,0.168064,0.344846,0.182824,0.192171,0.221976,RENDAH,4,True
KALIMANTAN UTARA,2020,Kalimantan,0.03487969721546364,0.05134833738848337,1083494.703974047,0.162153,0.141415,0.145463,0.152291,0.368801,0.201993,RENDAH,4,True
SULAWESI UTARA,2020,Sulawesi,0.12222370271670738,0.012047523872973573,3301468.194536975,0.210877,0.514283,0.032373,0.4789,0.480179,0.376434,KURANG,4,True
SULAWESI TENGAH,2020,Sulawesi,0.04890383752963034,0.028068742392209623,1175322.5123326287,0.188046,0.201283,0.078475,0.165813,0.42799,0.21839,RENDAH,4,True
SULAWESI SELATAN,2020,Sulawesi,0.04091309677283006,0.0047128938859183804,1028311.3575459138,0.225444,0.167171,0.011267,0.144165,0.513478,0.20902,RENDAH,4,True
SULAWESI TENGGARA,2020,Sulawesi,0.09136013748165121,0.010530414235079303,2418134.822240521,0.23606,0.382527,0.028008,0.348824,0.537745,0.324276,KURANG,4,True
