provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,ipsda,status,is_prediction,model_version
RIAU,2026,Sumatera,0.019146,0.177227,528094.34317,0.279527,0.292639,RENDAH,True,sda_rf_v2.0
RIAU,2027,Sumatera,0.019544,0.173148,424854.627003,0.277744,0.289983,RENDAH,True,sda_rf_v2.0
RIAU,2028,Sumatera,0.019233,0.170752,346951.12233,0.279019,0.290219,RENDAH,True,sda_rf_v2.0
RIAU,2029,Sumatera,0.01843,0.1699,333024.55071,0.277639,0.286616,RENDAH,True,sda_rf_v2.0
RIAU,2030,Sumatera,0.017637,0.169745,329668.419657,0.278686,0.284499,RENDAH,True,sda_rf_v2.0
SULAWESI BARAT,2025,Sulawesi,0.044011,0.043004,546725.713156,0.41974,0.314523,KURANG,True,sda_rf_v2.0
SULAWESI BARAT,2026,Sulawesi,0.045354,0.039863,754942.598997,0.401412,0.313212,KURANG,True,sda_rf_v2.0
SULAWESI BARAT,2027,Sulawesi,0.044678,0.037823,630891.014008,0.39205,0.316642,KURANG,True,sda_rf_v2.0
SULAWESI BARAT,2028,Sulawesi,0.044122,0.035231,568977.012033,0.389381,0.313719,KURANG,True,sda_rf_v2.0
SULAWESI BARAT,2029,Sulawesi,0.04387,0.034943,532523.544131,0.388285,0.312602,KURANG,True,sda_rf_v2.0
SULAWESI BARAT,2030,Sulawesi,0.044055,0.034173,537078.012066,0.379751,0.309624,KURANG,True,sda_rf_v2.0
SULAWESI SELATAN,2025,Sulawesi,0.044527,0.008807,523710.295157,0.225259,0.188852,RENDAH,True,sda_rf_v2.0
SULAWESI SELATAN,2026,Sulawesi,0.045884,0.01359,815114.19908,0.221224,0.197087,RENDAH,True,sda_rf_v2.0
SULAWESI SELATAN,2027,Sulawesi,0.044535,0.013446,740880.926183,0.22171,0.200128,RENDAH,True,sda_rf_v2.0
SULAWESI SELATAN,2028,Sulawesi,0.043671,0.011368,574034.163698,0.221355,0.206125,RENDAH,True,sda_rf_v2.0
SULAWESI SELATAN,2029,Sulawesi,0.043461,0.012327,539785.600285,0.222166,0.204667,RENDAH,True,sda_rf_v2.0
SULAWESI SELATAN,2030,Sulawesi,0.042956,0.011138,514487.310936,0.223729,0.205768,RENDAH,True,sda_rf_v2.0
SULAWESI TENGAH,2025,Sulawesi,0.092682,0.030532,880119.147491,0.161545,0.214007,RENDAH,True,sda_rf_v2.0
SULAWESI TENGAH,2026,Sulawesi,0.082564,0.0298,1110891.727689,0.157835,0.222971,RENDAH,True,sda_rf_v2.0
SULAWESI TENGAH,2027,Sulawesi,0.079126,0.027838,1044639.777244,0.161792,0.215715,RENDAH,True,sda_rf_v2.0
SULAWESI TENGAH,2028,Sulawesi,0.074322,0.02898,1038624.230074,0.162873,0.209556,RENDAH,True,sda_rf_v2.0
SULAWESI TENGAH,2029,Sulawesi,0.062353,0.028978,963420.747523,0.16196,0.208565,RENDAH,True,sda_rf_v2.0
SULAWESI TENGAH,2030,Sulawesi,0.057461,0.028175,913541.417765,0.159457,0.209991,RENDAH,True,sda_rf_v2.0
SULAWESI TENGGARA,2025,Sulawesi,0.089112,0.013039,860955.062004,0.233473,0.231805,RENDAH,True,sda_rf_v2.0
SULAWESI TENGGARA,2026,Sulawesi,0.08774,0.013116,1192883.205945,0.230931,0.239794,RENDAH,True,sda_rf_v2.0
SULAWESI TENGGARA,2027,Sulawesi,0.081186,0.012561,1276120.834052,0.227277,0.233357,RENDAH,True,sda_rf_v2.0
SULAWESI TENGGARA,2028,Sulawesi,0.076611,0.012509,1107225.257926,0.225099,0.22566,RENDAH,True,sda_rf_v2.0
SULAWESI TENGGARA,2029,Sulawesi,0.066892,0.012411,1040890.901004,0.221641,0.222057,RENDAH,True,sda_rf_v2.0
SULAWESI TENGGARA,2030,Sulawesi,0.0615,0.012184,970852.0164,0.220462,0.215844,RENDAH,True,sda_rf_v2.0
SULAWESI UTARA,2025,Sulawesi,0.105587,0.015026,955623.841261,0.21258,0.246485,RENDAH,True,sda_rf_v2.0
SULAWESI UTARA,2026,Sulawesi,0.095855,0.014336,1340567.50838,0.215407,0.255527,RENDAH,True,sda_rf_v2.0
SULAWESI UTARA,2027,Sulawesi,0.093506,0.013205,1409618.256445,0.216908,0.247945,RENDAH,True,sda_rf_v2.0
SULAWESI UTARA,2028,Sulawesi,0.092563,0.01336,1232774.419292,0.218418,0.240577,RENDAH,True,sda_rf_v2.0
SULAWESI UTARA,2029,Sulawesi,0.090634,0.012873,1147077.738772,0.217298,0.23457,RENDAH,True,sda_rf_v2.0
SULAWESI UTARA,2030,Sulawesi,0.084959,0.012896,1123918.608251,0.216333,0.225057,RENDAH,True,sda_rf_v2.0
SUMATERA BARAT,2025,Sumatera,0.035452,0.038976,423393.006665,0.217401,0.192543,RENDAH,True,sda_rf_v2.0
SUMATERA BARAT,2026,Sumatera,0.035739,0.038525,676171.35567,0.21841,0.200398,RENDAH,True,sda_rf_v2.0
SUMATERA BARAT,2027,Sumatera,0.035907,0.038191,591993.434248,0.220255,0.203831,RENDAH,True,sda_rf_v2.0
SUMATERA BARAT,2028,Sumatera,0.035191,0.036554,494708.275906,0.222069,0.204707,RENDAH,True,sda_rf_v2.0
SUMATERA BARAT,2029,Sumatera,0.034312,0.037545,486271.409408,0.221521,0.204538,RENDAH,True,sda_rf_v2.0
SUMATERA BARAT,2030,Sumatera,0.033995,0.037886,468980.783837,0.222975,0.206125,RENDAH,True,sda_rf_v2.0
SUMATERA SELATAN,2025,Sumatera,0.014305,0.081511,322449.239415,0.13764,0.150973,RENDAH,True,sda_rf_v2.0
SUMATERA SELATAN,2026,Sumatera,0.018109,0.077075,622881.396789,0.137674,0.16406,RENDAH,True,sda_rf_v2.0
SUMATERA SELATAN,2027,Sumatera,0.018756,0.07657,625424.55987,0.137374,0.166184,RENDAH,True,sda_rf_v2.0
SUMATERA SELATAN,2028,Sumatera,0.018164,0.074646,406636.068871,0.140721,0.168305,RENDAH,True,sda_rf_v2.0
SUMATERA SELATAN,2029,Sumatera,0.016826,0.075472,400727.51892,0.143515,0.169461,RENDAH,True,sda_rf_v2.0
SUMATERA SELATAN,2030,Sumatera,0.016537,0.077249,360225.801299,0.144065,0.176416,RENDAH,True,sda_rf_v2.0
SUMATERA UTARA,2025,Sumatera,0.022898,0.05551,354014.467307,0.251767,0.19903,RENDAH,True,sda_rf_v2.0
SUMATERA UTARA,2026,Sumatera,0.023595,0.053784,598595.676613,0.254393,0.206273,RENDAH,True,sda_rf_v2.0
SUMATERA UTARA,2027,Sumatera,0.024073,0.052562,507874.524576,0.257727,0.211279,RENDAH,True,sda_rf_v2.0
SUMATERA UTARA,2028,Sumatera,0.023103,0.05129,415731.070193,0.260041,0.209937,RENDAH,True,sda_rf_v2.0
SUMATERA UTARA,2029,Sumatera,0.02272,0.051291,407881.119225,0.262477,0.212052,RENDAH,True,sda_rf_v2.0
SUMATERA UTARA,2030,Sumatera,0.022688,0.052552,393604.236192,0.265077,0.213286,RENDAH,True,sda_rf_v2.0
