kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran
1108,Aceh Besar,ACEH,kab_kota,2034,15.532,11.446,71.5446,12832.4102
1108,Aceh Besar,ACEH,kab_kota,2035,15.6,11.53,71.6701,13028.0114
1108,Aceh Besar,ACEH,kab_kota,2036,15.668,11.614,71.7955,13223.6125
1108,Aceh Besar,ACEH,kab_kota,2037,15.736,11.698,71.921,13419.2136
1108,Aceh Besar,ACEH,kab_kota,2038,15.804,11.782,72.0465,13614.8148
1108,Aceh Besar,ACEH,kab_kota,2039,15.872,11.866,72.1719,13810.4159
1108,Aceh Besar,ACEH,kab_kota,2040,15.94,11.95,72.2974,14006.017
1108,Aceh Besar,ACEH,kab_kota,2041,16.008,12.034,72.4228,14201.6182
1108,Aceh Besar,ACEH,kab_kota,2042,16.076,12.118,72.5483,14397.2193
1108,Aceh Besar,ACEH,kab_kota,2043,16.144,12.202,72.6738,14592.8204
1108,Aceh Besar,ACEH,kab_kota,2044,16.212,12.286,72.7992,14788.4216
1108,Aceh Besar,ACEH,kab_kota,2045,16.28,12.37,72.9247,14984.0227
1109,Pidie,ACEH,kab_kota,2025,,,67.4976,
1109,Pidie,ACEH,kab_kota,2026,14.54,9.4086,67.5884,12055.5402
1109,Pidie,ACEH,kab_kota,2027,14.55,9.5014,67.6791,12504.0805
1109,Pidie,ACEH,kab_kota,2028,14.56,9.5943,67.7698,12952.6207
1109,Pidie,ACEH,kab_kota,2029,14.57,9.6871,67.8605,13401.161
1109,Pidie,ACEH,kab_kota,2030,14.58,9.78,67.9512,13849.7012
1109,Pidie,ACEH,kab_kota,2031,14.59,9.8728,68.0419,14298.2415
1109,Pidie,ACEH,kab_kota,2032,14.6,9.9657,68.1327,14746.7817
1109,Pidie,ACEH,kab_kota,2033,14.61,10.0585,68.2234,15195.322
1109,Pidie,ACEH,kab_kota,2034,14.62,10.1514,68.3141,15643.8622
1109,Pidie,ACEH,kab_kota,2035,14.63,10.2442,68.4048,16092.4025
1109,Pidie,ACEH,kab_kota,2036,14.64,10.3371,68.4955,16540.9427
